Month & Year,Wagon Placement,Opening Balance,Available Warehouse capacity,Available Manpower,Demurrage Hours,Number of wagons placed,Day of Arrival,Sun,Mon,Tue,Wed,Thu,Fri,Sat,Working/Non-working (Yes/No),Working,Arrival time of wagons,Demurrage occurs or not
April_16,1,1430.78,13889.22,58,0,21,Sat,0,0,0,0,0,0,1,No,0,6,0
May_16,2,998.703,14321.297,58,3,21,Mon,0,1,0,0,0,0,0,Yes,1,18.75,1
,3,998.703,14321.297,58,1,21,Wed,0,0,0,1,0,0,0,Yes,1,8.916666667,1
,4,998.703,14321.297,58,6,29,Fri,0,0,0,0,0,1,0,Yes,1,6,1
,5,3490.181,11829.819,58,3,29,Thu,0,0,0,0,1,0,0,Yes,1,6,1
,6,4140.462,11179.538,58,3,29,Sat,0,0,0,0,0,0,1,No,0,6,1
,7,3772.119,11547.881,58,2,21,Wed,0,0,0,1,0,0,0,Yes,1,6,1
,8,3772.119,11547.881,58,23,21,Fri,0,0,0,0,0,1,0,Yes,1,6,1
,9,3772.119,11547.881,58,0,21,Mon,0,1,0,0,0,0,0,Yes,1,10.25,0
Jun_16,10,5761.809,9558.191,58,0,21,Thu,0,0,0,0,1,0,0,Yes,1,6,0
,11,6131.608,9188.392,58,0,21,Wed,0,0,0,1,0,0,0,Yes,1,6,0
,12,6131.608,9188.392,58,23,21,Sun,1,0,0,0,0,0,0,No,0,6,1
July_16,13,3575.64,11744.36,58,19,21,Sun,1,0,0,0,0,0,0,No,0,10.5,1
,14,3575.64,11744.36,58,4,29,Wed,0,0,0,1,0,0,0,Yes,1,18.66666667,1
,15,3828.496,11491.504,58,1,29,Mon,0,1,0,0,0,0,0,Yes,1,6,1
,16,4365.392,10954.608,58,0,21,Mon,0,1,0,0,0,0,0,Yes,1,9,0
,17,4365.392,10954.608,58,0,22,Wed,0,0,0,1,0,0,0,Yes,1,6,0
Aug_16,18,6118.256,9201.744,58,0,21,Tue,0,0,1,0,0,0,0,Yes,1,6,0
,19,6118.256,9201.744,58,13,28,Wed,0,0,0,1,0,0,0,Yes,1,13.58333333,1
,20,6118.256,9201.744,58,0,21,Fri,0,0,0,0,0,1,0,Yes,1,6,0
,21,8748.841,6571.159,58,13,21,Mon,0,1,0,0,0,0,0,Yes,1,14.16666667,1
,22,8748.841,6571.159,58,23,21,Fri,0,0,0,0,0,1,0,Yes,1,6,1
,23,7646.695,7673.305,58,47,20,Sun,1,0,0,0,0,0,0,No,0,6,1
,24,7646.695,7673.305,58,36,21,Tue,0,0,1,0,0,0,0,Yes,1,14.58333333,1
Sep_16,25,5099,10221,58,36,21,Thu,0,0,0,0,1,0,0,Yes,1,14.83333333,1
,26,4970.69,10349.31,58,21,21,Thu,0,0,0,0,1,0,0,Yes,1,6,1
Oct_16,27,5672.533,9647.467,58,43,21,Sat,0,0,0,0,0,0,1,No,0,7,1
,28,5672.533,9647.467,58,22,29,Tue,0,0,1,0,0,0,0,Yes,1,6,1
,29,7129.43,8190.57,58,25,20,Thu,0,0,0,0,1,0,0,Yes,1,6,1
,30,7600.179,7719.821,58,0,12,Thu,0,0,0,0,1,0,0,Yes,1,6,0
Nov_16,31,8152.619,7167.381,58,16,29,Tue,0,0,1,0,0,0,0,Yes,1,14.25,1
,32,8152.619,7167.381,58,4,29,Thu,0,0,0,0,1,0,0,Yes,1,6,1
,33,10840.809,4479.191,58,23,28,Thu,0,0,0,0,1,0,0,Yes,1,6,1
Dec_16,34,11843.569,3476.431,58,76,21,Fri,0,0,0,0,0,1,0,Yes,1,6,1
,35,9039.457,6280.543,58,3,27,Sat,0,0,0,0,0,0,1,No,0,6.5,1
,36,9039.457,6280.543,58,4,21,Thu,0,0,0,0,1,0,0,Yes,1,16.5,1
Jan_17,37,7268.221,8051.779,58,1,21,Tue,0,0,1,0,0,0,0,Yes,1,6,1
,38,7268.221,8051.779,58,16,29,Wed,0,0,0,1,0,0,0,Yes,1,11.75,1
,39,8226.506,7093.494,58,40,42,Mon,0,1,0,0,0,0,0,Yes,1,12.5,1
,40,7405.998,7914.002,58,20,42,Tue,0,0,1,0,0,0,0,Yes,1,6,1
,41,7405.998,7914.002,58,3,29,Fri,0,0,0,0,0,1,0,Yes,1,10.25,1
Feb_17,42,4506.3,10813.7,58,17,42,Wed,0,0,0,1,0,0,0,Yes,1,9.666666667,1
,43,4506.3,10813.7,58,4,29,Sat,0,0,0,0,0,0,1,No,0,6,1
,44,4635.359,10684.641,58,34,41,Fri,0,0,0,0,0,1,0,Yes,1,15.83333333,1
,45,4635.359,10684.641,58,13,42,Mon,0,1,0,0,0,0,0,Yes,1,13.5,1
Mar_17,46,6669.221,8650.779,58,3,29,Wed,0,0,0,1,0,0,0,Yes,1,6.75,1
,47,6669.221,8650.779,58,21,38,Thu,0,0,0,0,1,0,0,Yes,1,6.25,1
,48,8674.213,6645.787,58,0,1,Mon,0,1,0,0,0,0,0,Yes,1,6,0
,49,8674.213,6645.787,58,3,29,Tue,0,0,1,0,0,0,0,Yes,1,6,1
,50,8065.435,7254.565,58,0,21,Mon,0,1,0,0,0,0,0,Yes,1,6,0
,51,8065.435,7254.565,58,0,21,Tue,0,0,1,0,0,0,0,Yes,1,6,0
,52,8065.435,7254.565,58,14,20,Wed,0,0,0,1,0,0,0,Yes,1,13.75,1
,53,9268.047,6051.953,58,2,21,Thu,0,0,0,0,1,0,0,Yes,1,19.08333333,1
Apr_17,54,9327.396,5992.604,58,2,29,Tue,0,0,1,0,0,0,0,Yes,1,6,1
,55,9234.506,6085.494,58,2,29,Mon,0,1,0,0,0,0,0,Yes,1,21.66666667,1
,56,9234.506,6085.494,58,1,21,Fri,0,0,0,0,0,1,0,Yes,1,9.333333333,1
,57,9234.506,6085.494,58,4,29,Sat,0,0,0,0,0,0,1,No,0,6,1
May_17,58,10085.808,5234.192,58,2,29,Fri,0,0,0,0,0,1,0,Yes,1,6,1
,59,10701.222,4618.778,58,2,21,Tue,0,0,1,0,0,0,0,Yes,1,9.166666667,1
,60,10701.222,4618.778,58,13,28,Fri,0,0,0,0,0,1,0,Yes,1,12.16666667,1
,61,10166.507,5153.493,58,3,29,Thu,0,0,0,0,1,0,0,Yes,1,16.5,1
Jun_17,62,8419.868,6900.132,58,4,29,Thu,0,0,0,0,1,0,0,Yes,1,15.66666667,1
,63,8419.868,6900.132,58,18,21,Sun,1,0,0,0,0,0,0,No,0,6,1
,64,8419.868,6900.132,58,0,21,Tue,0,0,1,0,0,0,0,Yes,1,13.83333333,0
,65,11201.43,4118.57,58,0,20,Tue,0,0,1,0,0,0,0,Yes,1,6,0
,66,11201.43,4118.57,58,3,29,Wed,0,0,0,1,0,0,0,Yes,1,6,1
,67,11865.033,3454.967,58,5,29,Thu,0,0,0,0,1,0,0,Yes,1,16,1
,68,11492.412,3827.588,58,1,28,Thu,0,0,0,0,1,0,0,Yes,1,6,1
Jul_17,69,11490.993,3829.007,58,0,21,Sat,0,0,0,0,0,0,1,No,0,7.75,0
,,,,,,,,,,,,,,,,,,
